City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tutoia,BR,89.58,light rain,-2.7619,-42.2744,Pousada Guará's
6,Chuy,UY,79.66,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
8,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
9,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
17,Vao,NC,79.25,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
18,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Kruisfontein,ZA,77.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
21,Bengkulu,ID,76.51,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
23,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
24,Arraial Do Cabo,BR,89.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Rikitea,PF,76.23,broken clouds,-23.1203,-134.9692,People ThankYou
27,Rio Grande,BR,82.51,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
28,Bredasdorp,ZA,79.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
30,Hermanus,ZA,79.81,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Dingle,PH,75.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
44,Sorong,ID,81.39,light rain,-0.8833,131.25,Waigo Splash Hotel
53,Port Alfred,ZA,75.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
58,Buala,SB,79.88,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
61,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
63,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
66,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Toamasina,MG,78.8,scattered clouds,-18.1667,49.3833,Hotel H1
70,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
72,Agadir,MA,77.45,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
76,Quelimane,MZ,82.35,broken clouds,-17.8786,36.8883,Hotel Flamingo
77,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
81,Kirakira,SB,80.2,moderate rain,-10.4544,161.9205,SanBiz Lodge
82,Bull Savanna,JM,76.01,few clouds,17.8868,-77.5902,Big Red's
84,Mahibadhoo,MV,82.58,overcast clouds,3.7833,72.9667,Omadhoo Inn
85,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
86,Vaini,TO,80.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
89,Cidreira,BR,76.98,clear sky,-30.1811,-50.2056,Hotel Castelo
