City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tutoia,BR,-2.7619,-42.2744,89.58,62,100,11.27,light rain
1,Ushuaia,AR,-54.8,-68.3,47.86,66,75,23.02,broken clouds
2,Concepcion,CL,-36.827,-73.0498,69.6,68,75,14.97,broken clouds
3,Amapa,BR,1.0,-52.0,81.72,77,92,4.05,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,100,16.11,light snow
5,Zhigansk,RU,66.7697,123.3711,-32.55,100,97,3.24,overcast clouds
6,Chuy,UY,-33.6971,-53.4616,79.66,55,99,12.64,overcast clouds
7,Guozhen,CN,34.3659,107.359,28.62,70,42,2.68,scattered clouds
8,Hithadhoo,MV,-0.6,73.0833,82.27,68,100,8.34,overcast clouds
9,Salalah,OM,17.0151,54.0924,75.29,69,0,4.61,clear sky
10,Nanortalik,GL,60.1432,-45.2371,17.96,60,100,9.82,overcast clouds
11,Bluff,NZ,-46.6,168.3333,58.8,92,85,2.48,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,30.7,94,100,7.92,snow
13,Yellowknife,CA,62.456,-114.3525,-16.08,76,100,6.91,light snow
14,Saint-Augustin,CA,51.226,-58.6502,31.62,81,99,32.32,light snow
15,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,78,100,16.11,overcast clouds
16,Kawalu,ID,-7.3817,108.2082,72.72,97,100,0.81,overcast clouds
17,Vao,NC,-22.6667,167.4833,79.25,87,99,11.79,overcast clouds
18,Souillac,MU,-20.5167,57.5167,80.98,78,75,13.8,light rain
19,Kruisfontein,ZA,-34.0033,24.7314,77.88,75,78,16.84,broken clouds
20,Luderitz,NA,-26.6481,15.1594,71.76,70,70,5.44,broken clouds
21,Bengkulu,ID,-3.8004,102.2655,76.51,92,100,4.76,moderate rain
22,Palmer,US,42.1584,-72.3287,21.02,40,20,4.0,few clouds
23,Touros,BR,-5.1989,-35.4608,88.7,63,22,15.86,few clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,74,75,11.5,broken clouds
25,Skibbereen,IE,51.55,-9.2667,51.6,90,61,21.47,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,76.23,60,63,4.32,broken clouds
27,Rio Grande,BR,-32.035,-52.0986,82.51,52,23,15.39,few clouds
28,Bredasdorp,ZA,-34.5322,20.0403,79.29,73,6,16.11,clear sky
29,Khatanga,RU,71.9667,102.5,-9.72,98,98,9.4,overcast clouds
30,Hermanus,ZA,-34.4187,19.2345,79.81,65,28,19.37,scattered clouds
31,Ribeira Grande,PT,38.5167,-28.7,61.2,59,20,21.85,few clouds
32,Katsuura,JP,35.1333,140.3,41.18,65,100,11.12,overcast clouds
33,Hobart,AU,-42.8794,147.3294,57.11,89,2,1.01,clear sky
34,Bar Harbor,US,44.3876,-68.2039,19.65,55,0,15.99,clear sky
35,Mocuba,MZ,-16.8392,36.9856,73.06,95,17,4.68,light rain
36,Huarmey,PE,-10.0681,-78.1522,73.38,78,100,7.58,overcast clouds
37,Vila Velha,BR,-20.3297,-40.2925,91.35,72,40,10.0,scattered clouds
38,Punta Arenas,CL,-53.15,-70.9167,53.71,50,75,28.77,broken clouds
39,Provideniya,RU,64.3833,-173.3,5.23,80,1,7.43,clear sky
40,Dingle,PH,10.9995,122.6711,75.79,91,91,2.35,overcast clouds
41,New Glasgow,CA,45.5834,-62.6486,28.78,84,99,18.25,overcast clouds
42,Leningradskiy,RU,69.3833,178.4167,-8.52,93,100,1.32,overcast clouds
43,Saint George,US,37.1041,-113.5841,45.36,40,0,0.0,clear sky
44,Sorong,ID,-0.8833,131.25,81.39,77,100,10.67,light rain
45,Penzberg,DE,47.75,11.3833,42.15,73,86,1.01,overcast clouds
46,Albany,US,42.6001,-73.9662,18.95,38,37,8.01,scattered clouds
47,Koslan,RU,63.4564,48.8989,5.38,98,96,4.9,overcast clouds
48,Mataura,NZ,-46.1927,168.8643,58.48,99,48,1.9,scattered clouds
49,Finspang,SE,58.7058,15.7674,37.92,55,76,14.74,broken clouds
50,Darhan,MN,49.4867,105.9228,-14.06,99,13,4.23,few clouds
51,San Juan,AR,-31.5375,-68.5364,91.96,27,0,8.55,clear sky
52,Gogrial,SS,8.5332,28.1004,79.81,16,92,4.79,overcast clouds
53,Port Alfred,ZA,-33.5906,26.891,75.9,84,87,21.12,overcast clouds
